pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbper,st_teff,st_rad,st_mass,sy_dist
Kepler-1794 b,1.79426276,3.87,703.0,9.762980461,5052.0,0.816,0.773,561.229
Kepler-1697 b,1.25954761,2.12,630.0,33.4969,4681.53,0.772344,0.747,247.771
Kepler-1699 b,1.56671124,3.08,1010.0,3.49082,5575.53,0.725,0.81,818.759
Kepler-1495 b,2.94,8.96,443.0,85.273256,5831.0,1.04,1.03,1355.54
Kepler-151 c,2.09,5.02,544.0,24.674612,5460.0,0.83,0.87,649.919
Kepler-1712 b,2.28372556,5.83,391.0,13.81499958,3732.0,0.509,0.515,156.264
Kepler-1522 b,1.73,3.64,1374.0,1.847889171,5706.0,0.93,0.96,814.125
HD 152843 c,5.83,27.5,253.08,24.38,6310.0,1.43,1.15,107.898
HD 152843 b,3.41,11.56,1003.11,11.6264,6310.0,1.43,1.15,107.898
TOI-262 b,2.07,4.94,584.0,11.14529,5310.0,0.853,0.913,43.932
HD 216437 b,13.0,1334.8793094,,1359.0,5909.0,1.394,1.22,26.6902
TOI-1696 b,3.09,48.8,489.0,2.500311,3185.0,0.2775,0.255,64.9172
HD 20329 b,1.72,7.42,2141.0,0.926118,5596.0,1.13,0.9,63.6796
GJ 328 c,4.91,21.4,,241.8,3897.0,0.63,0.65,20.5266
HD 110067 b,2.2,5.69,800.0,9.113678,5266.0,0.788,0.798,32.1585
TOI-2184 b,11.39953337,206.58846455,1491.0,6.90683,5966.0,2.9,1.53,788.317
K2-218 b,2.56948149,7.13,,8.679885,5757.0,1.008231,1.047488,394.083
bet Pic c,12.5,3222.46221857,,1192.77951,7890.0,2.011601,1.795,19.7442
GQ Lup b,33.6,6356.0,2650.0,,4360.0,1.94153,0.7,151.169
7 CMa c,13.9,276.5121,,996.0,4826.0,4.87,1.34,19.8101
HD 14067 b,12.2,4862.7746271,,2744.0,4815.0,12.4,2.4,142.024
WASP-157 b,11.19,182.43442,1193.0,3.951623,5772.0,1.1,1.06,334.037
K2-384 d,1.392,2.52,,6.679582,3623.0,0.348,0.33,82.6603
K2-14 b,4.81,20.7,488.0,8.36802,3789.0,0.45,0.47,364.048
TOI-411 b,1.362,13.71,1241.0,4.040295,6169.0,1.117,1.098,62.7792
K2-401 b,2.262,5.74,,6.293099,4213.0,0.675,0.87,200.727
K2-136 b,1.014,4.3,610.0,7.9752,4500.0,0.677,0.742,59.2474
EPIC 206215704 b,1.0,0.972,,2.255436,3297.0,0.25,0.407,109.888
K2-101 b,2.0,4.66,618.0,14.6762429,4927.0,0.76,0.82,188.33
EPIC 211822797 b,1.92,4.35,431.0,21.1701963,4057.0,0.58,0.62,186.197
TOI-2193 A b,19.83989584,298.75870258,1763.0,2.1225735,5966.0,1.248,1.082,337.064
GJ 1132 c,1.43,2.64,300.0,8.929,3270.0,0.2105,0.181,12.613
TOI-4342 c,2.415,6.41,508.9,10.688716,3901.0,0.599,0.6296,61.5204
TOI-4342 b,2.266,5.76,633.6,5.5382498,3901.0,0.599,0.6296,61.5204
EPIC 220554210 c,1.6,3.19,,0.70531,5499.0,1.0,0.94,496.289
K2-322 b,1.92,4.35,635.0,8.205,4141.0,0.602,0.63,123.415
K2-388 b,3.66,13.0,922.0,6.339069,5367.0,0.897,0.842,290.495
WASP-171 b,10.98482,344.52772,1642.0,3.8186244,5965.0,1.637,1.171,757.84
PZ Tel b,11.9,8581.366989,,44000.0,5169.0,1.25646,1.36,47.0648
WASP-17 b,20.96083,247.9074,1755.0,3.73543,6550.0,1.49,2.28,405.908
K2-110 b,2.592,15.9,638.0,13.86375,5010.0,0.713,0.738,116.474
OGLE-2018-BLG-1126L b,4.41,17.79839079,,,,,0.69,5700.0
OGLE-2018-BLG-1367L b,13.8,301.93698665,,,,,0.28,5370.0
OGLE-2017-BLG-1375L b,12.4,3585.0,,,,,0.81,3930.0
TOI-942 b,3.89,826.358,1120.0,4.32421,4969.0,0.894,0.822,152.601
Kepler-1938 b,1.82828927,4.0,527.0,13.06260014,4522.0,0.655,0.646,421.152
Kepler-1945 b,1.289,2.21,808.0,6.080039978,4991.0,0.804,0.767,
TOI-5704 b,3.2274,10.5,949.07,3.771116,4590.0,0.7575,0.73,89.637
Kepler-1997 b,2.28,5.82,660.0,26.7575866,6215.0,1.052,1.111,1502.34
Kepler-1721 b,3.11856756,9.9,924.0,4.592380047,5351.0,0.796,0.89,641.374
Kepler-1722 b,2.86719266,8.58,753.0,9.178569794,5506.0,0.788,0.876,772.283
Kepler-1723 b,2.88046569,8.65,568.0,39.75289917,6072.0,1.01,0.96,811.278
Kepler-1741 b,1.273,2.16,615.0,2.757590055,3683.0,0.424,0.454,270.739
Kepler-1742 b,2.1782413,5.38,462.0,49.47819901,5776.0,0.849,0.939,669.573
Kepler-1755 b,5.91688317,29.4,631.0,24.81209946,6086.0,0.921,1.003,982.383
Kepler-1758 b,2.57059831,7.13,1028.0,9.977210045,5557.0,1.616,1.035,1588.41
Kepler-1759 b,0.9037791,0.676,954.0,3.720230103,5017.0,0.797,0.76,385.348
Kepler-1761 b,1.39109603,2.51,613.0,4.043540001,3871.0,0.532,0.573,221.186
Kepler-1762 b,2.76022913,8.05,714.0,29.53910065,6572.0,1.238,1.298,1663.74
Kepler-1906 b,2.77615754,8.13,901.0,7.362689972,5868.0,0.894,0.987,1360.63
Kepler-1764 b,4.55527871,18.8,511.0,70.46829987,6461.0,1.131,1.162,1542.48
HD 184010 d,14.3,143.02278315,,836.4,4971.0,4.86,1.35,60.7993
Kepler-1793 b,3.79037518,13.8,713.0,8.779999733,5191.0,0.764,0.85,1189.88
Kepler-1795 b,1.66301611,3.4,520.0,13.36019993,4500.0,0.688,0.768,
Kepler-1796 b,2.75047868,8.0,598.0,29.4557991,6036.0,0.949,1.018,825.883
Kepler-1792 b,2.51990972,6.89,1047.0,4.1957798,5229.0,1.005,0.878,601.029
Kepler-1797 b,3.05774442,9.58,684.0,23.3593998,6244.0,1.009,1.069,1338.49
Kepler-1922 b,2.29064904,5.86,740.0,13.22259998,5931.0,0.863,0.953,1344.29
HIP 81208 C b,12.3,4703.8604236,2050.0,104100.0,,,0.135,147.533
Kepler-1805 b,1.54502915,3.0,479.0,8.847940445,3867.0,0.552,0.581,221.639
Kepler-1807 b,2.70393215,7.77,1108.0,10.86060047,6455.0,1.496,1.087,1299.32
Kepler-1810 b,3.91815325,14.6,380.0,101.1330032,5492.0,1.016,0.921,1009.87
Kepler-1935 b,2.50271696,6.82,1083.0,3.951400042,5570.0,0.899,0.845,904.702
Kepler-1951 b,2.32107188,6.0,728.0,20.65780067,5468.0,1.306,0.923,1277.32
Kepler-1954 b,1.80235934,3.9,949.0,5.883430004,5840.0,0.849,0.942,1373.83
Kepler-1949 b,2.21964541,5.56,1709.0,2.208280087,6028.0,1.454,1.194,2617.35
Kepler-1958 b,2.05124311,4.86,806.0,9.328619957,5749.0,0.864,0.961,1320.38
Kepler-1959 b,1.14315727,1.57,811.0,6.38669014,5071.0,0.811,0.768,479.263
Kepler-1811 b,3.84829873,14.1,455.0,76.42230225,5561.0,1.19,0.946,1390.56
Kepler-1960 b,1.30749704,2.26,1547.0,2.297940016,6371.0,1.072,1.117,1527.56
Kepler-1961 b,1.6187808,3.25,866.0,5.604710102,5401.0,0.777,0.871,1042.45
Kepler-1829 b,2.47887001,6.71,860.0,5.186719894,5230.0,0.777,0.873,679.921
Kepler-1987 c,1.33,2.33,860.0,3.64830183,4769.0,0.714,0.799,595.683
Kepler-1987 d,2.66,7.56,744.0,5.644914154,4769.0,0.714,0.799,595.683
Kepler-1987 e,1.92,4.35,643.0,8.74292005,4769.0,0.714,0.799,595.683
Kepler-1985 b,2.27,5.77,1129.0,3.42064689,5370.0,0.966,0.877,
Kepler-1859 c,1.66,3.39,1327.0,3.59645081,5887.0,1.235,1.09,1331.25
Kepler-1865 b,1.57686072,3.11,1203.0,2.524009943,5420.0,0.871,0.849,922.255
Kepler-1853 b,1.51862272,2.92,386.0,48.88819885,4821.0,0.788,0.765,562.348
Kepler-1872 b,2.38421141,6.28,1005.0,3.825910091,5223.0,0.885,0.913,840.182
Kepler-1654 b,9.180171,158.915,206.0,1047.8356,5597.0,1.179,1.011,568.117
Kepler-1875 b,3.22686692,10.5,559.0,34.45859909,6161.0,0.862,0.95,1660.45
Kepler-1904 b,1.39049941,2.51,567.0,4.577020168,3805.0,0.497,0.526,270.854
GJ 887 c,2.67,7.6,352.0,21.789,3688.0,0.4712,0.489,3.29
TOI-1347 b,1.8,11.1,1400.0,0.84742346,5464.0,0.83,0.913,147.476
TOI-6034 b,11.92,254.0,714.0,2.576184,3635.0,0.489,0.514,117.992
Kepler-210 c,3.62,12.8,497.0,7.972513,4559.0,0.65,0.77,232.75
Kepler-331 c,1.84,4.04,425.0,17.28111,4347.0,0.492,0.653,580.119
Kepler-225 b,1.2,1.87,579.0,6.738975,3682.0,0.48,0.593,561.101
Kepler-231 b,1.73,35.4,488.0,10.065275,3767.0,0.49,0.58,316.618
Kepler-298 c,1.93,4.38,416.0,22.92881,4465.0,0.582,0.66,518.204
Kepler-298 d,2.5,6.8,277.0,77.473633,4465.0,0.582,0.66,518.204
Kepler-241 c,2.57,7.13,397.0,36.065978,4699.0,0.668,0.671,512.0
Kepler-255 b,1.55,3.02,971.0,5.714606,5573.0,0.933,0.867,1052.53
Kepler-303 c,1.14,1.55,521.0,7.061149,3944.0,0.485,0.575,209.738
Kepler-333 b,1.32,28.2,480.0,12.551158,4259.0,0.534,0.601,324.413
Kepler-340 b,2.53,6.94,1092.0,14.844387,6620.0,1.85,1.65,808.762
Kepler-26 b,2.78,5.12,431.0,12.28,3914.0,0.512,0.544,335.307
Kepler-308 b,2.12,5.14,833.0,9.694928,5895.0,0.941,0.92,1335.92
KMT-2020-BLG-0414L b,0.997,0.96,,,,,0.259,800.0
KMT-2020-BLG-0414L c,12.2,4894.5574678,,,,,0.259,800.0
Kepler-351 d,2.72,7.85,318.0,142.544247,5225.0,0.78,0.81,1083.91
Kepler-354 c,1.31,2.27,508.0,16.934402,4648.0,0.674,0.73,554.064
Kepler-32 d,2.7,7.75,328.0,22.7802,3900.0,0.53,0.58,323.847
Kepler-32 b,2.2,1303.0,514.0,5.90124,3900.0,0.53,0.58,323.847
Gaia-2 b,14.81827249,259.66580852,1213.23,3.6915224,5720.0,1.064,1.0,209.229
MOA-2022-BLG-563L b,14.0,127.1313628,,,,,0.48,6530.0
KMT-2023-BLG-0469L b,7.04,39.41072247,,,,,0.47,7070.0
HAT-P-12 b,10.749,67.059,963.0,3.2130598,4650.0,0.701,0.733,142.751
TOI-4559 b,1.415,2.59,554.16,3.965991,3558.0,0.374,0.392,31.6354
Kepler-434 b,12.67,908.96,1000.0,12.8747099,5977.0,1.38,1.198,1222.54
Kepler-378 c,0.7,0.271,414.0,28.906009,4661.0,0.671,0.78,152.094
Kepler-383 b,1.32,2.3,545.0,12.904532,4710.0,0.672,0.669,470.0
Kepler-440 b,1.86,4.12,229.0,101.11141,4134.0,0.559,0.575,301.03
Kepler-438 b,1.12,1.46,288.0,35.23319,3748.0,0.52,0.544,195.94287175
Kepler-753 b,1.91,4.31,641.0,5.747725012,4346.0,0.65,0.68,274.767
Kepler-754 b,2.01,4.7,758.0,14.5596237,5935.0,1.08,1.06,1770.27
Kepler-446 d,1.35,2.39,436.0,5.148921,3359.0,0.24,0.22,96.339
Kepler-448 c,12.0,6992.26,,2500.0,6466.33,1.4,1.5,399.398
TOI-1278 b,12.21778896,5879.8255295,407.87,14.47567,3799.0,0.573,0.54,75.5759
HD 260655 c,1.533,3.09,557.0,5.70588,3803.0,0.439,0.439,10.0055
K2-84 b,2.41,6.39,,6.4215,5652.0,0.93,0.95,284.876
OGLE-2018-BLG-0799L b,10.9,82.63538582,,,,,0.093,4050.0
HD 213885 c,4.71,19.95,1265.4,4.78503,5978.0,1.1011,1.068,48.0883
TOI-2000 c,8.14,81.7,1038.0,9.127055,5611.0,1.134,1.082,175.713
HD 23472 c,1.87,3.41,467.0,29.79749,4684.0,0.71,0.67,39.0341
TOI-332 b,3.2,57.2,1871.0,0.777038,5251.0,0.87,0.88,222.852
Kepler-529 d,2.79502604,8.22,633.0,35.86619949,6078.0,1.189,1.005,799.008
Kepler-764 b,1.64,3.33,875.0,7.33683936,5557.0,0.89,0.92,1047.84
Kepler-765 b,2.43,6.48,641.0,27.6655226,5901.0,1.06,1.05,1076.28
Kepler-398 b,0.93,0.749,755.0,4.081423,4493.0,0.613,0.649,177.355
Kepler-548 b,11.99,,1017.0,4.454194338,5535.0,0.9,0.93,751.776
Kepler-945 b,2.63,7.41,616.0,31.0033814,5718.0,0.97,0.97,1651.25
Kepler-892 b,2.81,8.3,556.0,13.7521072,4747.0,0.72,0.75,570.727
Kepler-41 b,14.46,177.98,1790.0,1.8555582,5750.0,1.29,1.15,1093.08
Kepler-457 d,2.98467257,9.19,1008.0,10.6906004,6474.0,1.242,1.148,1072.3
Kepler-453 b,6.204,16.0,,240.503,5527.0,0.833,0.944,442.846
Kepler-570 b,2.45,6.57,1009.0,4.301662003,5496.0,0.9,0.93,568.148
Kepler-574 b,2.39,6.3,858.0,7.65880414,5612.0,0.91,0.95,682.896
Kepler-797 b,2.17,5.35,605.0,27.07237711,5680.0,0.95,0.96,1315.26
Kepler-833 b,2.02,4.74,382.0,18.7546998,4339.0,0.62,0.64,467.37
Kepler-851 b,1.68,3.46,900.0,8.50699658,5455.0,0.85,0.89,839.255
Kepler-413 b,4.347,67.0,,66.262,4700.0,0.7761,0.82,847.536
Kepler-415 c,2.01,4.7,543.0,8.708,4362.0,0.643,0.67,530.487
Kepler-468 b,13.34,,484.0,38.478757067,5498.0,0.87,0.96,442.871
Kepler-47 b,3.05,2.07,,49.4643,5636.0,0.936,0.957,1025.02
Kepler-476 b,3.08,9.69,807.0,14.00640607,5837.0,1.09,1.03,813.535
Kepler-891 b,6.41,33.6,486.0,53.44945593,5887.0,1.07,1.06,2340.58
Kepler-770 c,1.2,1.87,2740.0,1.475322314,5598.0,0.92,0.94,930.457
Kepler-894 b,2.78,8.15,896.0,9.803224,5603.0,0.85,0.87,1162.91
Kepler-900 b,2.08,4.98,716.0,6.9913086,4836.0,0.73,0.78,487.525
Kepler-610 b,4.19,16.3,888.0,6.996926554,5943.0,1.13,1.1,845.824
Kepler-316 c,1.16,1.65,577.0,6.827766,4204.0,0.52,0.587,384.938
Kepler-935 b,1.35,2.39,879.0,4.88083852,4830.0,0.73,0.78,471.782
Kepler-856 b,9.3,63.3,824.0,8.027680595,5535.0,0.93,0.96,1351.17
Kepler-868 b,2.05,4.86,1047.0,5.03251791,5614.0,0.89,0.93,1593.13
Kepler-504 b,1.59,3.15,374.0,9.549275422,3519.0,0.33,0.33,99.0688
Kepler-505 b,2.6,7.27,314.0,27.52197994,3931.0,0.53,0.55,283.41
Kepler-670 b,13.18,,1219.0,2.816504852,5709.0,0.99,0.99,939.744
Kepler-680 b,2.42,6.44,1147.0,3.689926291,5890.0,1.11,1.08,1492.48
Kepler-907 b,1.2,1.87,879.0,15.86621821,6106.0,1.38,1.08,352.0
Kepler-902 b,2.54,6.99,556.0,40.1099547,5647.0,0.93,0.95,1165.34
Kepler-91 b,15.322703,257.4423,2040.0,6.24658,4550.0,6.3,1.31,1294.69
Kepler-702 b,9.17,61.8,713.0,10.526294063,5419.0,0.86,0.9,992.071
Kepler-695 b,9.21,62.3,1021.0,3.040330424,5181.0,0.8,0.84,842.947
Kepler-701 b,2.84,8.45,777.0,10.35533177,5343.0,0.84,0.88,774.152
Kepler-704 b,2.61,7.32,1121.0,3.76182115,5616.0,0.96,0.97,1228.83
Kepler-708 b,2.93,8.91,1221.0,3.167891938,5692.0,0.96,0.97,1394.22
Kepler-714 b,9.67,67.6,986.0,8.098887986,5995.0,1.12,1.09,2083.37
Kepler-710 b,1.88,4.19,1174.0,4.347285527,5611.0,0.91,0.94,1448.34
PH1 b,6.18,169.0,481.0,138.317,6407.0,1.734,1.528,1033.16
Kepler-727 b,2.53,6.94,964.0,5.154484417,5441.0,0.86,0.89,831.842
Kepler-737 b,1.96,4.5,298.0,28.59915399,3813.0,0.48,0.51,205.118
Kepler-719 b,8.52,54.5,998.0,5.007317779,5777.0,0.98,0.99,2497.51
Kepler-1896 b,3.09935997,9.8,536.0,44.87020111,6122.0,0.996,1.07,1732.91
Kepler-1909 b,1.09217411,1.33,1031.0,2.391609907,4935.0,0.685,0.663,763.662
Kepler-1894 b,1.20117759,1.87,1231.0,2.762660027,5772.0,0.901,0.999,935.191
Kepler-547 b,4.0,15.1,768.0,6.010384289,4828.0,0.73,0.78,378.972
Kepler-686 b,12.15,,1539.0,1.594745463,5649.0,0.92,0.94,1490.94
Kepler-689 b,2.89,8.7,536.0,22.36656079,5518.0,0.88,0.91,1131.73
Kepler-752 b,2.81,8.3,632.0,18.82747265,5373.0,0.83,0.87,1232.29
Kepler-1911 b,1.011,1.01,987.0,5.990799904,5721.0,0.972,0.954,269.912
Kepler-1956 b,1.08940238,1.32,674.0,5.943719864,4391.0,0.682,0.671,360.468
Kepler-1177 b,1.9,4.27,377.0,106.247547,5712.0,0.97,0.98,1299.97
LSPM J2116+0234 b,3.71,13.3,,14.4399,3475.0,0.431,0.43,17.6297
Kepler-763 c,1.42,2.6,938.0,4.09667624,4999.0,0.843,0.8,962.459
Kepler-1986 b,1.89,4.23,579.0,19.5489666,5549.0,0.732,0.776,912.085
Kepler-317 c,1.72,3.61,837.0,8.77501,5497.0,0.941,0.865,940.584
Kepler-558 b,2.37,6.21,498.0,29.00790538,5242.0,0.81,0.85,661.876
Kepler-555 b,2.83,8.4,664.0,16.21775407,5894.0,1.04,1.03,973.121
Kepler-809 b,3.01,9.32,478.0,55.63934,5734.0,0.98,0.99,961.405
Kepler-817 b,9.03,60.2,1124.0,3.990106229,5861.0,1.03,1.03,1484.46
Kepler-590 b,4.02,15.2,1056.0,5.85296257,6000.0,1.15,1.1,1421.81
